,Unnamed: 0,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,month,week
256,334216,A-334219,MapQuest,201.0,2,2017-02-06 20:15:42,2017-02-06 20:46:50,29.760803000000006,-95.369507,,,0.01,Accident on Walker St at Bagby St.,898.0,Bagby St,R,Houston,Harris,TX,77002-2525,US,US/Central,KMCJ,2017-02-06 20:15:00,71.6,,83.0,29.88,8.0,SSE,11.5,,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2,6
352,1999884,A-1999907,MapQuest,201.0,3,2017-11-03 18:07:46,2017-11-03 18:37:05,45.131618,-93.442329,,,0.0,Right lane blocked due to accident on MN-610 Eastbound at County Hwy-130 Elm Creek Blvd.,,Elm Creek Blvd N,R,Osseo,Hennepin,MN,55369,US,US/Central,KMIC,2017-11-03 18:01:00,30.9,24.3,85.0,30.33,1.5,ENE,6.9,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,11,44
298,1788337,A-1788360,MapQuest,201.0,2,2018-03-19 17:02:09,2018-03-19 17:31:56,36.172619,-86.64948299999998,,,0.0,Accident on US-70 Lebanon Pike at Disspayne Dr.,3004.0,Lebanon Pike,L,Nashville,Davidson,TN,37214-2532,US,US/Central,KBNA,2018-03-19 16:53:00,66.0,,75.0,29.47,10.0,South,15.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,3,12
581,1505298,A-1505315,MapQuest,201.0,2,2018-08-27 08:03:56,2018-08-27 08:33:41,35.353172,-118.967056,,,0.0,Accident on CA-58 Westbound at Exit 114 Mount Vernon Ave.,,CA-58 W,R,Bakersfield,Kern,CA,93307,US,US/Pacific,KBFL,2018-08-27 07:54:00,71.1,,34.0,29.9,10.0,East,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,35
1288,780502,A-780511,MapQuest,201.0,3,2019-07-02 17:57:18,2019-07-02 23:08:43,39.95023,-83.015831,,,3.13000011444,Right lane closed due to accident on I-70 Eastbound from Exit 97 US-40 Broad St to I-71.,,I-71 S,R,Columbus,Franklin,OH,43206,US,US/Eastern,KCMH,2019-07-02 17:51:00,91.0,91.0,42.0,28.99,10.0,WSW,13.0,0.0,Mostly Cloudy,False,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,7,27
1765,1283421,A-1283437,MapQuest,201.0,2,2018-11-12 09:42:17,2018-11-12 10:12:07,35.19430900000001,-80.873024,,,0.0,Accident on Clanton Rd at South Blvd.,,Clanton Rd,R,Charlotte,Mecklenburg,NC,28209,US,US/Eastern,KCLT,2018-11-12 09:52:00,42.1,40.2,85.0,30.35,5.0,NNE,3.5,0.06,Light Rain,False,False,True,False,False,False,True,False,False,False,False,True,False,Day,Day,Day,Day,11,46
420,937853,A-937862,MapQuest,201.0,2,2019-05-15 11:43:20,2019-05-15 12:30:45,31.867346,-106.429817,,,0.0,Accident on US-54-BR Dyer St Northbound at Maxwell Ave.,,Maxwell Ave,R,El Paso,El Paso,TX,79904,US,US/Mountain,KBIF,2019-05-15 11:51:00,85.0,85.0,15.0,26.0,10.0,SSE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,5,20
1587,636996,A-637005,MapQuest,201.0,2,2019-11-07 17:18:00,2019-11-07 18:17:47,42.274883,-71.05029300000002,,,0.0,Accident on I-93 Southbound at Exits 11 11A 11B Granite Ave.,,I-93 S,R,Milton,Norfolk,MA,02186,US,US/Eastern,KMQE,2019-11-07 16:53:00,53.0,53.0,69.0,29.91,10.0,W,8.0,0.0,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day,11,45
65,2272223,A-2272247,Bing,,3,2016-08-10 17:58:48,2016-08-10 23:58:48,29.77437,-95.25567,29.77663,-95.26964,0.852,At I-610/Exit 775 - Accident.,,I-10 W,R,Houston,Harris,TX,77029,US,US/Central,KHOU,2016-08-10 17:53:00,95.0,,56.0,29.92,10.0,SE,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,32
1611,2821799,A-2821823,Bing,,2,2018-02-25 21:56:31,2018-02-25 22:26:31,40.785189,-73.394899,40.785189,-73.394899,0.0,At Pinelawn Rd/Exit 49 - Accident.,,Long Island Expy W,R,Melville,Suffolk,NY,11747,US,US/Eastern,KFRG,2018-02-25 21:53:00,43.0,41.3,97.0,30.02,10.0,NW,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2,8
56,217469,A-217471,MapQuest,241.0,2,2016-06-27 07:33:46,2016-06-27 08:03:46,40.870392,-74.419151,,,0.0,Left lane blocked due to accident on US-202 Parsippany Blvd Northbound at I-287 Exit 42.,2079.0,US Highway 46,L,Parsippany,Morris,NJ,07054-1305,US,US/Eastern,KMMU,2016-06-27 07:45:00,66.2,,78.0,30.11,10.0,SSW,5.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6,26
1997,539308,A-539316,MapQuest,201.0,3,2019-12-10 17:37:53,2019-12-10 18:39:00,36.19606,-80.81178299999998,,,0.0,Left hand shoulder blocked due to accident on I-77 Northbound at Exit 79 US-21.,,I-77 S,R,Jonesville,Yadkin,NC,28642,US,US/Eastern,KUKF,2019-12-10 17:35:00,48.0,48.0,82.0,28.71,10.0,NW,3.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,12,50
1117,347516,A-347519,MapQuest,203.0,3,2017-03-06 18:30:41,2017-03-06 19:15:13,34.10458,-117.534012,,,0.01,#1 and #2 lane blocked due to multi-vehicle accident on I-15 Northbound before Exit 112 CA-66 Foothill Blvd.,,I-15 N,R,Rancho Cucamonga,San Bernardino,CA,91739,US,US/Pacific,KONT,2017-03-06 18:53:00,54.0,,51.0,30.16,10.0,WSW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,3,10
582,646999,A-647008,MapQuest,201.0,2,2019-11-12 08:00:38,2019-11-12 09:16:58,40.580631,-74.152496,,,0.0,Accident on Forest Hill Rd at Richmond Hill Rd.,1700.0,Forest Hill Rd,R,Staten Island,Richmond,NY,10314-6355,US,US/Eastern,KLDJ,2019-11-12 07:55:00,51.0,51.0,86.0,29.74,7.0,WNW,13.0,0.01,Drizzle,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,11,46
1232,666633,A-666642,MapQuest,201.0,3,2019-11-20 10:48:29,2019-11-20 11:48:12,32.444107,-80.994911,,,0.0,Accident on I-95 Northbound before Exit 18 SC-13.,,I-95 N,R,Ridgeland,Jasper,SC,29936,US,US/Eastern,KNBC,2019-11-20 10:56:00,61.0,61.0,54.0,30.11,10.0,N,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,47
316,517187,A-517193,MapQuest,201.0,2,2019-12-30 07:51:54,2019-12-30 09:06:18,37.218914,-77.389946,,,0.0,Accident on I-95 Northbound near Exits 50 50Abcd 51 52 I-85 Exit 68.,,I-95 S,R,Petersburg,Petersburg,VA,23803,US,US/Eastern,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,1
744,2571416,A-2571440,Bing,,2,2019-11-07 17:30:00,2019-11-07 18:23:17,37.63693,-121.88416,37.63693,-121.88416,0.0,At Sunol Blvd - Accident.,,I-680 N,R,Pleasanton,Alameda,CA,94566,US,US/Pacific,KLVK,2019-11-07 17:53:00,61.0,61.0,64.0,29.66,6.0,CALM,0.0,0.0,Smoke,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day,11,45
128,2119572,A-2119595,MapQuest,201.0,2,2017-09-05 18:15:49,2017-09-05 19:15:14,35.153126,-80.84796899999998,,,0.0,Accident on Tyvola Rd at Park Rd.,,Fairview Rd,R,Charlotte,Mecklenburg,NC,28209,US,US/Eastern,KCLT,2017-09-05 17:52:00,86.0,,49.0,29.84,10.0,SW,6.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9,36
1442,1927787,A-1927810,MapQuest-Bing,201.0,2,2018-01-30 13:17:36,2018-01-30 14:17:20,41.934704,-71.46624,,,0.0,Left lane blocked due to accident on RI-146 Eddie Dowling Hwy Southbound at RI-116 George Washington Hwy.,,Eddie Dowling Hwy N,R,Lincoln,Providence,RI,02865,US,US/Eastern,KSFZ,2018-01-30 13:13:00,28.4,21.2,64.0,29.83,9.0,NW,6.9,0.0,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1,5
1512,2896673,A-2896697,Bing,,2,2017-08-24 15:03:41,2017-08-24 21:03:41,41.39138,-72.877,41.4589,-72.83623,5.121,Between CT-22/Exit 63 and Quinnipiac St/Exit 64 - Accident.,,Wilbur Cross Pkwy N,R,North Haven,New Haven,CT,06473,US,US/Eastern,KMMK,2017-08-24 14:53:00,79.0,,39.0,29.91,10.0,North,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,34
1799,127732,A-127734,MapQuest,201.0,2,2016-11-15 08:17:48,2016-11-15 08:47:29,28.573277,-81.207848,,,0.01,Accident on Alafaya Trl at Challenger Pkwy.,2300.0,N Alafaya Trl,R,Orlando,Orange,FL,32817,US,US/Eastern,KORL,2016-11-15 07:53:00,60.1,,83.0,30.04,10.0,NNW,4.6,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,11,46
923,596199,A-596208,MapQuest,201.0,2,2019-10-18 07:52:07,2019-10-18 08:51:55,35.046741,-81.982941,,,0.0,Accident on SC-9 at Old Furnace Rd.,,Old Furnace Rd,R,Boiling Springs,Spartanburg,SC,29316,US,US/Eastern,KSPA,2019-10-18 07:55:00,41.0,41.0,87.0,29.16,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,10,42
479,870620,A-870629,MapQuest,201.0,2,2019-06-06 19:18:21,2019-06-06 23:15:11,30.4179,-97.672432,,,0.0,Accident on Center Ridge Dr at I-35.,,N Interstate 35,R,Austin,Travis,TX,78753,US,US/Central,KATT,2019-06-06 18:51:00,83.0,83.0,58.0,29.02,10.0,SW,3.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6,23
1958,558463,A-558471,MapQuest,241.0,3,2019-12-18 05:12:55,2019-12-18 06:28:23,32.819099,-96.628151,,,0.0,One lane blocked and shoulder blocked due to accident on I-635 Northbound at I-30 Exits 56B.,3895.0,Childress Ave,R,Mesquite,Dallas,TX,75150-2824,US,US/Central,KHQZ,2019-12-18 05:15:00,28.0,28.0,88.0,29.93,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,12,51
593,1310889,A-1310905,MapQuest,201.0,3,2018-11-24 11:02:52,2018-11-24 11:30:18,43.05143,-88.37365,,,0.0,Left hand shoulder blocked due to accident on I-94 Westbound at Exit 287 WI-83.,,State Road 83,R,Delafield,Waukesha,WI,53018,US,US/Central,KUES,2018-11-24 10:45:00,41.0,35.2,100.0,29.46,3.0,SW,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,47
99,1526434,A-1526451,MapQuest,201.0,2,2018-07-09 05:56:38,2018-07-09 06:56:00,41.847775,-72.59940300000002,,,0.0,Accident on US-5 John Fitch Blvd near Kimberly Dr.,1501.0,John Fitch Blvd,R,South Windsor,Hartford,CT,06074-1016,US,US/Eastern,KHFD,2018-07-09 05:53:00,62.1,,90.0,30.22,10.0,SSW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,28
416,11643,A-11644,MapQuest,201.0,2,2017-01-18 19:13:43,2017-01-18 19:43:14,38.66254,-120.937302,,,0.01,Accident on US-50 Eastbound before Exit 37 Ponderosa Rd.,,US-50 E,R,Shingle Springs,El Dorado,CA,95682,US,US/Pacific,KPVF,2017-01-18 19:15:00,44.6,35.7,81.0,29.71,7.0,South,24.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,1,3
962,1494483,A-1494500,MapQuest,201.0,3,2018-08-22 14:50:20,2018-08-22 15:20:03,42.172337,-72.33168,,,0.0,Accident on I-90 Eastbound before Exit 8 MA-32 Thorndike St.,,I-90 E,R,Palmer,Hampden,MA,01069,US,US/Eastern,KCEF,2018-08-22 14:56:00,77.0,,67.0,29.66,10.0,West,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,34
